poll_info,year,state,Obama,Romney,Undecided,Other,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation,days_to_election,poll_key
2012-washington-dc-president-romney-vs-obama,2012,washington-dc,88,8,NA,NA,15956,PPP (D)/Washington City Paper/Kojo Nnamdi Show,2012-10-12,2012-10-14,Likely Voters,1222,Automated Phone,Pollster,Dem,23,2012_15956_washington-dc
2012-idaho-president-romney-vs-obama,2012,idaho,27,63,6,4,15826,Mason-Dixon/Idaho Statesman,2012-10-08,2012-10-10,Likely Voters,625,Live Phone,Nonpartisan,None,27,2012_15826_idaho
2012-rhode-island-president-romney-vs-obama,2012,rhode-island,54,33,8,NA,16411,Fleming and Associates/WPRI,2012-10-24,2012-10-27,Likely Voters,601,Live Phone,Nonpartisan,None,10,2012_16411_rhode-island
2012-rhode-island-president-romney-vs-obama,2012,rhode-island,58,32,10,NA,15672,Brown University,2012-09-26,2012-10-05,Likely Voters,471,Live Phone,Nonpartisan,None,32,2012_15672_rhode-island
2012-rhode-island-president-romney-vs-obama,2012,rhode-island,57,33,7,NA,15495,Fleming and Associates/WPRI,2012-09-26,2012-09-29,Likely Voters,501,Live Phone,Nonpartisan,None,38,2012_15495_rhode-island
2012-rhode-island-president-romney-vs-obama,2012,rhode-island,54,37,10,NA,15018,PPP (D),2011-02-16,2011-02-22,Likely Voters,544,Automated Phone,Pollster,Dem,623,2012_15018_rhode-island
2012-kentucky-president-romney-vs-obama,2012,kentucky,39,53,5,3,15085,SurveyUSA/The Courier-Journal,2012-09-11,2012-09-13,Likely Voters,606,IVR/Online,Nonpartisan,None,54,2012_15085_kentucky
2012-kentucky-president-romney-vs-obama,2012,kentucky,40,48,11,NA,14974,PPP (D),2011-08-25,2011-08-28,Likely Voters,600,Automated Phone,Pollster,Dem,436,2012_14974_kentucky
2012-mississippi-president-romney-vs-obama,2012,mississippi,36,54,10,NA,12585,PPP (D),2011-11-04,2011-11-06,Likely Voters,796,Automated Phone,Pollster,Dem,366,2012_12585_mississippi
2012-mississippi-president-romney-vs-obama,2012,mississippi,40,46,13,NA,15016,PPP (D),2011-03-24,2011-03-27,Likely Voters,817,Automated Phone,Pollster,Dem,590,2012_15016_mississippi
2012-louisiana-president-romney-vs-obama,2012,louisiana,36,59,5,NA,15650,Magellan (R),2012-10-02,2012-10-04,Likely Voters,2682,Automated Phone,Pollster,Rep,33,2012_15650_louisiana
2012-louisiana-president-romney-vs-obama,2012,louisiana,37,50,10,NA,15507,JZ Analytics,2012-09-29,2012-09-30,Likely Voters,412,Internet,Nonpartisan,None,37,2012_15507_louisiana
2012-louisiana-president-romney-vs-obama,2012,louisiana,39,45,17,NA,15469,Southern Media/Opinion Research,2012-09-11,2012-09-20,Likely Voters,600,Live Phone,Nonpartisan,None,47,2012_15469_louisiana
2012-kansas-president-romney-vs-obama,2012,kansas,39,48,13,NA,14973,SurveyUSA,2011-11-18,2011-11-21,Registered Voters,510,IVR/Online,Nonpartisan,None,351,2012_14973_kansas
2012-kansas-president-romney-vs-obama,2012,kansas,31,56,12,NA,12571,SurveyUSA,2011-11-10,2011-11-10,Likely Voters,800,Automated Phone,Nonpartisan,None,362,2012_12571_kansas
2012-hawaii-president-romney-vs-obama,2012,hawaii,61,34,5,NA,16453,Honolulu Civil Beat/Merriman,2012-10-24,2012-10-26,Likely Voters,1218,Automated Phone,Nonpartisan,None,11,2012_16453_hawaii
2012-hawaii-president-romney-vs-obama,2012,hawaii,62,30,6,3,15516,Honolulu Civil Beat/Merriman,2012-09-26,2012-09-28,Likely Voters,1684,Automated Phone,Nonpartisan,None,39,2012_15516_hawaii
2012-hawaii-president-romney-vs-obama,2012,hawaii,59,32,10,NA,12582,DailyKos.com/PPP (D),2011-10-13,2011-10-16,Likely Voters,568,Automated Phone,Sponsor,Dem,387,2012_12582_hawaii
2012-west-virginia-president-romney-vs-obama,2012,west-virginia,38,52,10,NA,14852,R.L. Repass & Partners,2012-08-22,2012-08-25,Likely Voters,401,Mixed,Nonpartisan,None,73,2012_14852_west-virginia
2012-west-virginia-president-romney-vs-obama,2012,west-virginia,37,54,10,NA,14877,R.L. Repass & Partners,2012-04-25,2012-04-28,Likely Voters,410,Live Phone/Online,Nonpartisan,None,192,2012_14877_west-virginia
2012-alabama-president-romney-vs-obama,2012,alabama,36,51,NA,NA,14263,Capital Survey Research Center,2012-06-07,2012-06-27,Likely Voters,551,Live Phone,Nonpartisan,None,132,2012_14263_alabama
2012-utah-president-romney-vs-obama,2012,utah,26,69,NA,NA,16509,Dan Jones & Associates,2012-10-26,2012-11-01,Registered Voters,870,Live Phone,Nonpartisan,None,5,2012_16509_utah
2012-utah-president-romney-vs-obama,2012,utah,25,70,3,2,16630,Mason-Dixon/The Salt Lake Tribune,2012-10-29,2012-10-31,Registered Voters,625,Live Phone,Nonpartisan,None,6,2012_16630_utah
2012-utah-president-romney-vs-obama,2012,utah,20,71,9,NA,16144,Key/BYU,2012-10-09,2012-10-13,Likely Voters,500,Live Phone,Nonpartisan,None,24,2012_16144_utah
2012-utah-president-romney-vs-obama,2012,utah,26,68,2,4,14175,Dan Jones & Associates,2012-06-15,2012-06-21,Registered Voters,1222,Live Phone,Nonpartisan,None,138,2012_14175_utah
2012-utah-president-romney-vs-obama,2012,utah,31,63,6,NA,15024,PPP (D),2011-07-08,2011-07-10,Likely Voters,732,Automated Phone,Pollster,Dem,485,2012_15024_utah
2012-maryland-president-romney-vs-obama,2012,maryland,59,37,2,2,16577,YouGov,2012-10-31,2012-11-03,Likely Voters,705,Internet,Nonpartisan,None,3,2012_16577_maryland
2012-maryland-president-romney-vs-obama,2012,maryland,55,36,8,NA,16429,Baltimore Sun/OpinionWorks,2012-10-20,2012-10-23,Likely Voters,801,Live Phone,Nonpartisan,None,14,2012_16429_maryland
2012-maryland-president-romney-vs-obama,2012,maryland,60,36,2,2,16062,Washington Post,2012-10-11,2012-10-15,Likely Voters,843,Live Phone,Nonpartisan,None,22,2012_16062_maryland
2012-maryland-president-romney-vs-obama,2012,maryland,58,37,4,2,15852,YouGov,2012-10-04,2012-10-11,Likely Voters,498,Internet,Nonpartisan,None,26,2012_15852_maryland
2012-maryland-president-romney-vs-obama,2012,maryland,57,34,10,NA,15463,Baltimore Sun/OpinionWorks,2012-09-25,2012-09-27,Likely Voters,804,Live Phone,Nonpartisan,None,40,2012_15463_maryland
2012-maryland-president-romney-vs-obama,2012,maryland,55,36,8,1,15325,Gonzales Research,2012-09-17,2012-09-23,Likely Voters,813,Live Phone,Nonpartisan,None,44,2012_15325_maryland
2012-maryland-president-romney-vs-obama,2012,maryland,57,37,3,3,15229,YouGov,2012-09-07,2012-09-14,Likely Voters,686,Internet,Nonpartisan,None,53,2012_15229_maryland
2012-maryland-president-romney-vs-obama,2012,maryland,58,35,6,NA,13898,PPP (D)/Marylanders for Marriage Equality,2012-05-14,2012-05-21,Likely Voters,852,Live Phone,Sponsor,Dem,169,2012_13898_maryland
2012-oklahoma-president-romney-vs-obama,2012,oklahoma,33,58,8,NA,16203,SoonerPoll.com,2012-10-18,2012-10-24,Likely Voters,305,Live Phone,Nonpartisan,None,13,2012_16203_oklahoma
2012-oklahoma-president-romney-vs-obama,2012,oklahoma,29,58,13,NA,14703,SoonerPoll.com,2012-07-26,2012-08-14,Likely Voters,495,Live Phone,Nonpartisan,None,84,2012_14703_oklahoma
2012-oklahoma-president-romney-vs-obama,2012,oklahoma,27,62,11,NA,13856,SoonerPoll.com,2012-05-07,2012-05-10,Likely Voters,503,Live Phone,Nonpartisan,None,180,2012_13856_oklahoma
2012-north-dakota-president-romney-vs-obama,2012,north-dakota,40,54,3,NA,16371,Mason-Dixon,2012-10-26,2012-10-28,Likely Voters,625,Live Phone,Nonpartisan,None,9,2012_16371_north-dakota
2012-north-dakota-president-romney-vs-obama,2012,north-dakota,38,55,NA,NA,16325,Pharos Research Group,2012-10-26,2012-10-28,Likely Voters,752,Live Phone,Nonpartisan,None,9,2012_16325_north-dakota
2012-north-dakota-president-romney-vs-obama,2012,north-dakota,39,49,NA,NA,16246,Pharos Research Group,2012-10-19,2012-10-21,Likely Voters,807,Live Phone,Nonpartisan,None,16,2012_16246_north-dakota
