poll_info,year,state,Trump,Clinton,Other,Undecided,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation,Johnson,McMullin,days_to_election,poll_key
2016-washington-d-c-president-trump-vs-clinton,2016,washington-dc,7,85,6,2,26807,SurveyMonkey,2016-11-01,2016-11-07,Likely Voters,310,Internet,Nonpartisan,None,NA,NA,1,2016_26807_washington-dc
2016-washington-d-c-president-trump-vs-clinton,2016,washington-dc,6,92,NA,3,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,312,Internet,Nonpartisan,None,NA,NA,2,2016_26793_washington-dc
2016-washington-d-c-president-trump-vs-clinton,2016,washington-dc,4,88,7,1,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,332,Internet,Nonpartisan,None,NA,NA,8,2016_26596_washington-dc
2016-washington-d-c-president-trump-vs-clinton,2016,washington-dc,13,81,NA,6,26592,UPI/CVOTER,2016-10-23,2016-10-29,Likely Voters,310,Internet,Nonpartisan,None,NA,NA,10,2016_26592_washington-dc
2016-washington-d-c-president-trump-vs-clinton,2016,washington-dc,5,88,5,2,26441,SurveyMonkey,2016-10-18,2016-10-24,Likely Voters,504,Internet,Nonpartisan,None,NA,NA,15,2016_26441_washington-dc
2016-wyoming-president-trump-vs-clinton,2016,wyoming,67,28,NA,5,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,320,Internet,Nonpartisan,None,NA,NA,2,2016_26793_wyoming
2016-wyoming-president-trump-vs-clinton,2016,wyoming,62,22,NA,4,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,251,Internet,Nonpartisan,None,NA,NA,8,2016_26596_wyoming
2016-wyoming-president-trump-vs-clinton,2016,wyoming,65,30,NA,5,26592,UPI/CVOTER,2016-10-23,2016-10-29,Likely Voters,311,Internet,Nonpartisan,None,NA,NA,10,2016_26592_wyoming
2016-wyoming-president-trump-vs-clinton,2016,wyoming,59,25,NA,5,26441,SurveyMonkey,2016-10-18,2016-10-24,Likely Voters,361,Internet,Nonpartisan,None,NA,NA,15,2016_26441_wyoming
2016-wyoming-president-trump-vs-clinton,2016,wyoming,54,19,NA,15,25602,DFM Research (D-Greene),2016-09-06,2016-09-11,Likely Voters,402,Live Phone,Sponsor,Dem,NA,NA,58,2016_25602_wyoming
2016-wyoming-president-trump-vs-clinton,2016,wyoming,65,27,NA,8,25396,WashPost/SurveyMonkey,2016-08-09,2016-09-01,Registered Voters,727,Internet,Nonpartisan,None,NA,NA,68,2016_25396_wyoming
2016-west-virginia-president-trump-vs-clinton,2016,west-virginia,56,29,10,5,26807,SurveyMonkey,2016-11-01,2016-11-07,Likely Voters,472,Internet,Nonpartisan,None,NA,NA,1,2016_26807_west-virginia
2016-west-virginia-president-trump-vs-clinton,2016,west-virginia,56,34,10,NA,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,309,Internet,Nonpartisan,None,NA,NA,2,2016_26793_west-virginia
2016-west-virginia-president-trump-vs-clinton,2016,west-virginia,58,34,NA,8,26806,Ipsos/Reuters,2016-10-17,2016-11-06,Likely Voters,422,Internet,Nonpartisan,None,NA,NA,2,2016_26806_west-virginia
2016-west-virginia-president-trump-vs-clinton,2016,west-virginia,58,27,12,3,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,321,Internet,Nonpartisan,None,NA,NA,8,2016_26596_west-virginia
2016-west-virginia-president-trump-vs-clinton,2016,west-virginia,59,36,5,NA,26592,UPI/CVOTER,2016-10-23,2016-10-29,Likely Voters,311,Internet,Nonpartisan,None,NA,NA,10,2016_26592_west-virginia
2016-west-virginia-president-trump-vs-clinton,2016,west-virginia,61,29,9,1,26441,SurveyMonkey,2016-10-18,2016-10-24,Likely Voters,379,Internet,Nonpartisan,None,NA,NA,15,2016_26441_west-virginia
2016-west-virginia-president-trump-vs-clinton,2016,west-virginia,54,41,NA,5,26344,Ipsos/Reuters,2016-09-23,2016-10-13,Likely Voters,360,Internet,Nonpartisan,None,NA,NA,26,2016_26344_west-virginia
