poll_info,year,state,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation,days_to_election,poll_key,candidate,pct,party_group
2012-washington-dc-president-romney-vs-obama,2012,washington-dc,15956,PPP (D)/Washington City Paper/Kojo Nnamdi Show,2012-10-12,2012-10-14,Likely Voters,1222,Automated Phone,Pollster,Dem,23,2012_15956_washington-dc,Obama,88,Democrat
2012-washington-dc-president-romney-vs-obama,2012,washington-dc,15956,PPP (D)/Washington City Paper/Kojo Nnamdi Show,2012-10-12,2012-10-14,Likely Voters,1222,Automated Phone,Pollster,Dem,23,2012_15956_washington-dc,Romney,8,Republican
2012-washington-dc-president-romney-vs-obama,2012,washington-dc,15956,PPP (D)/Washington City Paper/Kojo Nnamdi Show,2012-10-12,2012-10-14,Likely Voters,1222,Automated Phone,Pollster,Dem,23,2012_15956_washington-dc,Undecided,NA,Undecided
2012-washington-dc-president-romney-vs-obama,2012,washington-dc,15956,PPP (D)/Washington City Paper/Kojo Nnamdi Show,2012-10-12,2012-10-14,Likely Voters,1222,Automated Phone,Pollster,Dem,23,2012_15956_washington-dc,Other,NA,Other
2012-idaho-president-romney-vs-obama,2012,idaho,15826,Mason-Dixon/Idaho Statesman,2012-10-08,2012-10-10,Likely Voters,625,Live Phone,Nonpartisan,None,27,2012_15826_idaho,Obama,27,Democrat
2012-idaho-president-romney-vs-obama,2012,idaho,15826,Mason-Dixon/Idaho Statesman,2012-10-08,2012-10-10,Likely Voters,625,Live Phone,Nonpartisan,None,27,2012_15826_idaho,Romney,63,Republican
2012-idaho-president-romney-vs-obama,2012,idaho,15826,Mason-Dixon/Idaho Statesman,2012-10-08,2012-10-10,Likely Voters,625,Live Phone,Nonpartisan,None,27,2012_15826_idaho,Undecided,6,Undecided
2012-idaho-president-romney-vs-obama,2012,idaho,15826,Mason-Dixon/Idaho Statesman,2012-10-08,2012-10-10,Likely Voters,625,Live Phone,Nonpartisan,None,27,2012_15826_idaho,Other,4,Other
2012-rhode-island-president-romney-vs-obama,2012,rhode-island,16411,Fleming and Associates/WPRI,2012-10-24,2012-10-27,Likely Voters,601,Live Phone,Nonpartisan,None,10,2012_16411_rhode-island,Obama,54,Democrat
2012-rhode-island-president-romney-vs-obama,2012,rhode-island,16411,Fleming and Associates/WPRI,2012-10-24,2012-10-27,Likely Voters,601,Live Phone,Nonpartisan,None,10,2012_16411_rhode-island,Romney,33,Republican
2012-rhode-island-president-romney-vs-obama,2012,rhode-island,16411,Fleming and Associates/WPRI,2012-10-24,2012-10-27,Likely Voters,601,Live Phone,Nonpartisan,None,10,2012_16411_rhode-island,Undecided,8,Undecided
2012-rhode-island-president-romney-vs-obama,2012,rhode-island,16411,Fleming and Associates/WPRI,2012-10-24,2012-10-27,Likely Voters,601,Live Phone,Nonpartisan,None,10,2012_16411_rhode-island,Other,NA,Other
2012-rhode-island-president-romney-vs-obama,2012,rhode-island,15672,Brown University,2012-09-26,2012-10-05,Likely Voters,471,Live Phone,Nonpartisan,None,32,2012_15672_rhode-island,Obama,58,Democrat
2012-rhode-island-president-romney-vs-obama,2012,rhode-island,15672,Brown University,2012-09-26,2012-10-05,Likely Voters,471,Live Phone,Nonpartisan,None,32,2012_15672_rhode-island,Romney,32,Republican
2012-rhode-island-president-romney-vs-obama,2012,rhode-island,15672,Brown University,2012-09-26,2012-10-05,Likely Voters,471,Live Phone,Nonpartisan,None,32,2012_15672_rhode-island,Undecided,10,Undecided
2012-rhode-island-president-romney-vs-obama,2012,rhode-island,15672,Brown University,2012-09-26,2012-10-05,Likely Voters,471,Live Phone,Nonpartisan,None,32,2012_15672_rhode-island,Other,NA,Other
2012-rhode-island-president-romney-vs-obama,2012,rhode-island,15495,Fleming and Associates/WPRI,2012-09-26,2012-09-29,Likely Voters,501,Live Phone,Nonpartisan,None,38,2012_15495_rhode-island,Obama,57,Democrat
2012-rhode-island-president-romney-vs-obama,2012,rhode-island,15495,Fleming and Associates/WPRI,2012-09-26,2012-09-29,Likely Voters,501,Live Phone,Nonpartisan,None,38,2012_15495_rhode-island,Romney,33,Republican
2012-rhode-island-president-romney-vs-obama,2012,rhode-island,15495,Fleming and Associates/WPRI,2012-09-26,2012-09-29,Likely Voters,501,Live Phone,Nonpartisan,None,38,2012_15495_rhode-island,Undecided,7,Undecided
