poll_info,Obama,Romney,Undecided,Other,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation
2012-washington-dc-president-romney-vs-obama,88,8,,Not included in poll,15956,PPP (D)/Washington City Paper/Kojo Nnamdi Show,2012-10-12,2012-10-14,Likely Voters,1222,Automated Phone,Pollster,Dem
2012-idaho-president-romney-vs-obama,27,63,6,4,15826,Mason-Dixon/Idaho Statesman,2012-10-08,2012-10-10,Likely Voters,625,Live Phone,Nonpartisan,None
2012-rhode-island-president-romney-vs-obama,54,33,8,Not included in poll,16411,Fleming and Associates/WPRI,2012-10-24,2012-10-27,Likely Voters,601,Live Phone,Nonpartisan,None
2012-rhode-island-president-romney-vs-obama,58,32,10,Not included in poll,15672,Brown University,2012-09-26,2012-10-05,Likely Voters,471,Live Phone,Nonpartisan,None
2012-rhode-island-president-romney-vs-obama,57,33,7,Not included in poll,15495,Fleming and Associates/WPRI,2012-09-26,2012-09-29,Likely Voters,501,Live Phone,Nonpartisan,None
2012-rhode-island-president-romney-vs-obama,54,37,10,Not included in poll,15018,PPP (D),2011-02-16,2011-02-22,Likely Voters,544,Automated Phone,Pollster,Dem
2012-kentucky-president-romney-vs-obama,39,53,5,3,15085,SurveyUSA/The Courier-Journal,2012-09-11,2012-09-13,Likely Voters,606,IVR/Online,Nonpartisan,None
2012-kentucky-president-romney-vs-obama,40,48,11,Not included in poll,14974,PPP (D),2011-08-25,2011-08-28,Likely Voters,600,Automated Phone,Pollster,Dem
2012-mississippi-president-romney-vs-obama,36,54,10,Not included in poll,12585,PPP (D),2011-11-04,2011-11-06,Likely Voters,796,Automated Phone,Pollster,Dem
2012-mississippi-president-romney-vs-obama,40,46,13,Not included in poll,15016,PPP (D),2011-03-24,2011-03-27,Likely Voters,817,Automated Phone,Pollster,Dem
2012-louisiana-president-romney-vs-obama,36,59,5,Not included in poll,15650,Magellan (R),2012-10-02,2012-10-04,Likely Voters,2682,Automated Phone,Pollster,Rep
2012-louisiana-president-romney-vs-obama,37,50,10,Not included in poll,15507,JZ Analytics,2012-09-29,2012-09-30,Likely Voters,412,Internet,Nonpartisan,None
2012-louisiana-president-romney-vs-obama,39,45,17,Not included in poll,15469,Southern Media/Opinion Research,2012-09-11,2012-09-20,Likely Voters,600,Live Phone,Nonpartisan,None
2012-kansas-president-romney-vs-obama,39,48,13,Not included in poll,14973,SurveyUSA,2011-11-18,2011-11-21,Registered Voters,510,IVR/Online,Nonpartisan,None
2012-kansas-president-romney-vs-obama,31,56,12,Not included in poll,12571,SurveyUSA,2011-11-10,2011-11-10,Likely Voters,800,Automated Phone,Nonpartisan,None
2012-hawaii-president-romney-vs-obama,61,34,5,Not included in poll,16453,Honolulu Civil Beat/Merriman,2012-10-24,2012-10-26,Likely Voters,1218,Automated Phone,Nonpartisan,None
2012-hawaii-president-romney-vs-obama,62,30,6,3,15516,Honolulu Civil Beat/Merriman,2012-09-26,2012-09-28,Likely Voters,1684,Automated Phone,Nonpartisan,None
2012-hawaii-president-romney-vs-obama,59,32,10,Not included in poll,12582,DailyKos.com/PPP (D),2011-10-13,2011-10-16,Likely Voters,568,Automated Phone,Sponsor,Dem
2012-west-virginia-president-romney-vs-obama,38,52,10,Not included in poll,14852,R.L. Repass & Partners,2012-08-22,2012-08-25,Likely Voters,401,Mixed,Nonpartisan,None
2012-west-virginia-president-romney-vs-obama,37,54,10,Not included in poll,14877,R.L. Repass & Partners,2012-04-25,2012-04-28,Likely Voters,410,Live Phone/Online,Nonpartisan,None
2012-alabama-president-romney-vs-obama,36,51,,Not included in poll,14263,Capital Survey Research Center,2012-06-07,2012-06-27,Likely Voters,551,Live Phone,Nonpartisan,None
2012-utah-president-romney-vs-obama,26,69,,Not included in poll,16509,Dan Jones & Associates,2012-10-26,2012-11-01,Registered Voters,870,Live Phone,Nonpartisan,None
2012-utah-president-romney-vs-obama,25,70,3,2,16630,Mason-Dixon/The Salt Lake Tribune,2012-10-29,2012-10-31,Registered Voters,625,Live Phone,Nonpartisan,None
2012-utah-president-romney-vs-obama,20,71,9,Not included in poll,16144,Key/BYU,2012-10-09,2012-10-13,Likely Voters,500,Live Phone,Nonpartisan,None
2012-utah-president-romney-vs-obama,26,68,2,4,14175,Dan Jones & Associates,2012-06-15,2012-06-21,Registered Voters,1222,Live Phone,Nonpartisan,None
2012-utah-president-romney-vs-obama,31,63,6,Not included in poll,15024,PPP (D),2011-07-08,2011-07-10,Likely Voters,732,Automated Phone,Pollster,Dem
2012-maryland-president-romney-vs-obama,59,37,2,2,16577,YouGov,2012-10-31,2012-11-03,Likely Voters,705,Internet,Nonpartisan,None
2012-maryland-president-romney-vs-obama,55,36,8,Not included in poll,16429,Baltimore Sun/OpinionWorks,2012-10-20,2012-10-23,Likely Voters,801,Live Phone,Nonpartisan,None
2012-maryland-president-romney-vs-obama,60,36,2,2,16062,Washington Post,2012-10-11,2012-10-15,Likely Voters,843,Live Phone,Nonpartisan,None
2012-maryland-president-romney-vs-obama,58,37,4,2,15852,YouGov,2012-10-04,2012-10-11,Likely Voters,498,Internet,Nonpartisan,None
2012-maryland-president-romney-vs-obama,57,34,10,Not included in poll,15463,Baltimore Sun/OpinionWorks,2012-09-25,2012-09-27,Likely Voters,804,Live Phone,Nonpartisan,None
2012-maryland-president-romney-vs-obama,55,36,8,1,15325,Gonzales Research,2012-09-17,2012-09-23,Likely Voters,813,Live Phone,Nonpartisan,None
2012-maryland-president-romney-vs-obama,57,37,3,3,15229,YouGov,2012-09-07,2012-09-14,Likely Voters,686,Internet,Nonpartisan,None
2012-maryland-president-romney-vs-obama,58,35,6,Not included in poll,13898,PPP (D)/Marylanders for Marriage Equality,2012-05-14,2012-05-21,Likely Voters,852,Live Phone,Sponsor,Dem
2012-oklahoma-president-romney-vs-obama,33,58,8,Not included in poll,16203,SoonerPoll.com,2012-10-18,2012-10-24,Likely Voters,305,Live Phone,Nonpartisan,None
2012-oklahoma-president-romney-vs-obama,29,58,13,Not included in poll,14703,SoonerPoll.com,2012-07-26,2012-08-14,Likely Voters,495,Live Phone,Nonpartisan,None
2012-oklahoma-president-romney-vs-obama,27,62,11,Not included in poll,13856,SoonerPoll.com,2012-05-07,2012-05-10,Likely Voters,503,Live Phone,Nonpartisan,None
2012-north-dakota-president-romney-vs-obama,40,54,3,Not included in poll,16371,Mason-Dixon,2012-10-26,2012-10-28,Likely Voters,625,Live Phone,Nonpartisan,None
2012-north-dakota-president-romney-vs-obama,38,55,,Not included in poll,16325,Pharos Research Group,2012-10-26,2012-10-28,Likely Voters,752,Live Phone,Nonpartisan,None
2012-north-dakota-president-romney-vs-obama,39,49,,Not included in poll,16246,Pharos Research Group,2012-10-19,2012-10-21,Likely Voters,807,Live Phone,Nonpartisan,None
2012-north-dakota-president-romney-vs-obama,40,54,4,2,16060,Rasmussen,2012-10-17,2012-10-18,Likely Voters,600,Automated Phone,Nonpartisan,None
2012-north-dakota-president-romney-vs-obama,32,57,10,1,16064,Essman/Research,2012-10-12,2012-10-15,Likely Voters,500,Live Phone,Nonpartisan,None
2012-north-dakota-president-romney-vs-obama,40,54,5,Not included in poll,15618,Mason-Dixon,2012-10-03,2012-10-05,Likely Voters,625,Live Phone,Nonpartisan,None
2012-north-dakota-president-romney-vs-obama,39,51,,Not included in poll,15399,DFM Research (D-ND Dems/NPL),2012-09-24,2012-09-27,Likely Voters,600,Live Phone,Sponsor,Dem
2012-north-dakota-president-romney-vs-obama,35,54,,Not included in poll,14480,DFM Research (D-ND Dems/NPL),2012-07-24,2012-07-26,Likely Voters,400,Live Phone,Sponsor,Dem
2012-north-dakota-president-romney-vs-obama,36,51,7,6,14336,Rasmussen,2012-07-10,2012-07-11,Likely Voters,400,Automated Phone,Nonpartisan,None
2012-north-dakota-president-romney-vs-obama,39,52,,Not included in poll,14040,Mason-Dixon,2012-06-04,2012-06-06,Likely Voters,625,Live Phone,Nonpartisan,None
2012-north-dakota-president-romney-vs-obama,32,51,,Not included in poll,13664,DFM Research (D-DSCC),2012-04-18,2012-04-26,Registered Voters,478,Live Phone,Sponsor,Dem
2012-washington-president-romney-vs-obama,53,46,1,Not included in poll,16521,PPP (D),2012-11-01,2012-11-03,Likely Voters,932,Automated Phone,Pollster,Dem
2012-washington-president-romney-vs-obama,54,40,2,Not included in poll,16583,YouGov,2012-10-31,2012-11-03,Likely Voters,837,Internet,Nonpartisan,None
2012-washington-president-romney-vs-obama,54,40,,Not included in poll,16415,SurveyUSA,2012-10-28,2012-10-31,Likely Voters,555,Mixed,Nonpartisan,None
2012-washington-president-romney-vs-obama,57,36,4,Not included in poll,16435,University of Washington/KCTS9,2012-10-18,2012-10-31,Likely Voters,632,Live Phone,Nonpartisan,None
2012-washington-president-romney-vs-obama,52,39,5,Not included in poll,16051,Strategies 360 (D),2012-10-17,2012-10-20,Likely Voters,500,Live Phone,Nonpartisan,None
2012-washington-president-romney-vs-obama,50,45,4,Not included in poll,15913,PPP (D-Washington Conservation Voters),2012-10-15,2012-10-16,Likely Voters,574,Automated Phone,Sponsor,Dem
2012-washington-president-romney-vs-obama,52,43,3,Not included in poll,15936,University of Washington/KCTS9,2012-10-01,2012-10-16,Likely Voters,644,Live Phone,Nonpartisan,None
2012-washington-president-romney-vs-obama,55,42,1,Not included in poll,15884,Rasmussen,2012-10-14,2012-10-14,Likely Voters,500,Automated Phone,Nonpartisan,None
