poll_info,Trump,Clinton,Other,Undecided,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation,Johnson,McMullin
2016-washington-d-c-president-trump-vs-clinton,7,85,6,2,26807,SurveyMonkey,2016-11-01,2016-11-07,Likely Voters,310,Internet,Nonpartisan,None,NA,NA
2016-washington-d-c-president-trump-vs-clinton,6,92,Not included in poll,3,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,312,Internet,Nonpartisan,None,NA,NA
2016-washington-d-c-president-trump-vs-clinton,4,88,7,1,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,332,Internet,Nonpartisan,None,NA,NA
2016-washington-d-c-president-trump-vs-clinton,13,81,Not included in poll,6,26592,UPI/CVOTER,2016-10-23,2016-10-29,Likely Voters,310,Internet,Nonpartisan,None,NA,NA
2016-washington-d-c-president-trump-vs-clinton,5,88,5,2,26441,SurveyMonkey,2016-10-18,2016-10-24,Likely Voters,504,Internet,Nonpartisan,None,NA,NA
2016-wyoming-president-trump-vs-clinton,67,28,Not included in poll,5,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,320,Internet,Nonpartisan,None,NA,NA
2016-wyoming-president-trump-vs-clinton,62,22,Not included in poll,4,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,251,Internet,Nonpartisan,None,NA,NA
2016-wyoming-president-trump-vs-clinton,65,30,Not included in poll,5,26592,UPI/CVOTER,2016-10-23,2016-10-29,Likely Voters,311,Internet,Nonpartisan,None,NA,NA
2016-wyoming-president-trump-vs-clinton,59,25,Not included in poll,5,26441,SurveyMonkey,2016-10-18,2016-10-24,Likely Voters,361,Internet,Nonpartisan,None,NA,NA
2016-wyoming-president-trump-vs-clinton,54,19,Not included in poll,15,25602,DFM Research (D-Greene),2016-09-06,2016-09-11,Likely Voters,402,Live Phone,Sponsor,Dem,NA,NA
2016-wyoming-president-trump-vs-clinton,65,27,Not included in poll,8,25396,WashPost/SurveyMonkey,2016-08-09,2016-09-01,Registered Voters,727,Internet,Nonpartisan,None,NA,NA
2016-west-virginia-president-trump-vs-clinton,56,29,10,5,26807,SurveyMonkey,2016-11-01,2016-11-07,Likely Voters,472,Internet,Nonpartisan,None,NA,NA
2016-west-virginia-president-trump-vs-clinton,56,34,10,,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,309,Internet,Nonpartisan,None,NA,NA
2016-west-virginia-president-trump-vs-clinton,58,34,Not included in poll,8,26806,Ipsos/Reuters,2016-10-17,2016-11-06,Likely Voters,422,Internet,Nonpartisan,None,NA,NA
2016-west-virginia-president-trump-vs-clinton,58,27,12,3,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,321,Internet,Nonpartisan,None,NA,NA
2016-west-virginia-president-trump-vs-clinton,59,36,5,,26592,UPI/CVOTER,2016-10-23,2016-10-29,Likely Voters,311,Internet,Nonpartisan,None,NA,NA
2016-west-virginia-president-trump-vs-clinton,61,29,9,1,26441,SurveyMonkey,2016-10-18,2016-10-24,Likely Voters,379,Internet,Nonpartisan,None,NA,NA
2016-west-virginia-president-trump-vs-clinton,54,41,Not included in poll,5,26344,Ipsos/Reuters,2016-09-23,2016-10-13,Likely Voters,360,Internet,Nonpartisan,None,NA,NA
2016-west-virginia-president-trump-vs-clinton,55,36,Not included in poll,9,26136,Ipsos/Reuters,2016-09-16,2016-10-06,Likely Voters,371,Internet,Nonpartisan,None,NA,NA
2016-west-virginia-president-trump-vs-clinton,60,28,Not included in poll,12,25975,Garin-Hart-Yang (D-Reynolds),2016-09-13,2016-09-17,Likely Voters,500,Live Phone,Sponsor,Dem,NA,NA
